Lat,Lon,District,Date,Total_Activity,Wealth_Index,Local_Avg_Income,Est_Monthly_Revenue_R$,Nighttime_Radiance,Shadow_Index,Image_File
-23.91143845169997,-46.68998576620008,Embu Guacu,2024-06,0,0.75,2062.5,0.0,1.18,0.0,Image_Banks/sp_real_shape_images/real_-23.91144_-46.68999_2024-06.jpg
-23.91143845169997,-46.68598576620008,Embu Guacu,2024-06,0,0.75,2062.5,0.0,1.12,0.0,Image_Banks/sp_real_shape_images/real_-23.91144_-46.68599_2024-06.jpg
-23.91143845169997,-46.68198576620008,Embu Guacu,2024-06,0,0.75,2062.5,0.0,0.87,0.0,Image_Banks/sp_real_shape_images/real_-23.91144_-46.68199_2024-06.jpg
-23.907438451699967,-46.70598576620007,Embu Guacu,2024-06,0,0.75,2062.5,0.0,7.56,0.0,Image_Banks/sp_real_shape_images/real_-23.90744_-46.70599_2024-06.jpg
-23.899438451699965,-46.72598576620005,Embu Guacu,2024-06,0,0.75,2062.5,0.0,2.63,0.0,Image_Banks/sp_real_shape_images/real_-23.89944_-46.72599_2024-06.jpg
-23.899438451699965,-46.721985766200056,Embu Guacu,2024-06,0,0.75,2062.5,0.0,2.19,0.0,Image_Banks/sp_real_shape_images/real_-23.89944_-46.72199_2024-06.jpg
-23.895438451699963,-46.777985766200025,Embu Guacu,2024-06,0,0.75,2062.5,0.0,2.09,0.0,Image_Banks/sp_real_shape_images/real_-23.89544_-46.77799_2024-06.jpg
-23.895438451699963,-46.77398576620003,Embu Guacu,2024-06,0,0.75,2062.5,0.0,1.82,0.0,Image_Banks/sp_real_shape_images/real_-23.89544_-46.77399_2024-06.jpg
-23.89143845169996,-46.617985766200114,Cubatao,2025-07,0,0.75,2062.5,0.0,1.05,0.0,Image_Banks/sp_real_shape_images/real_-23.89144_-46.61799_2025-07.jpg
-23.88743845169996,-46.649985766200096,Embu Guacu,2025-07,0,0.75,2062.5,0.0,3.9,0.0,Image_Banks/sp_real_shape_images/real_-23.88744_-46.64999_2025-07.jpg
-23.88743845169996,-46.6459857662001,Embu Guacu,2025-07,0,0.75,2062.5,0.0,5.75,0.0,Image_Banks/sp_real_shape_images/real_-23.88744_-46.64599_2025-07.jpg
-23.88743845169996,-46.617985766200114,Cubatao,2025-06,0,0.75,2062.5,0.0,1.86,0.0,Image_Banks/sp_real_shape_images/real_-23.88744_-46.61799_2025-06.jpg
-23.88343845169996,-46.741985766200045,Embu Guacu,2024-06,0,0.75,2062.5,0.0,6.35,0.0,Image_Banks/sp_real_shape_images/real_-23.88344_-46.74199_2024-06.jpg
-23.88343845169996,-46.649985766200096,Embu Guacu,2025-07,0,0.75,2062.5,0.0,5.78,0.0,Image_Banks/sp_real_shape_images/real_-23.88344_-46.64999_2025-07.jpg
-23.88343845169996,-46.6459857662001,Embu Guacu,2025-07,0,0.75,2062.5,0.0,7.27,0.0,Image_Banks/sp_real_shape_images/real_-23.88344_-46.64599_2025-07.jpg
-23.88343845169996,-46.6419857662001,Embu Guacu,2025-07,0,0.75,2062.5,0.0,9.89,0.0,Image_Banks/sp_real_shape_images/real_-23.88344_-46.64199_2025-07.jpg
-23.88343845169996,-46.617985766200114,Cubatao,2025-06,0,0.75,2062.5,0.0,1.84,0.0,Image_Banks/sp_real_shape_images/real_-23.88344_-46.61799_2025-06.jpg
-23.87943845169996,-46.75398576620004,Embu Guacu,2024-06,0,0.75,2062.5,0.0,3.19,0.0,Image_Banks/sp_real_shape_images/real_-23.87944_-46.75399_2024-06.jpg
-23.87943845169996,-46.74998576620004,Embu Guacu,2024-06,0,0.75,2062.5,0.0,3.27,0.0,Image_Banks/sp_real_shape_images/real_-23.87944_-46.74999_2024-06.jpg
